DATE,PN02312FM,PD37976BM,PN02028AM,PD37972BM,PD37974BM,Class
1999-02-01,-0.003936169273361045,-0.008708464717351205,-0.005778992374398939,0.0017678166481993607,-0.040248974133838544,1
1999-03-01,-0.002313958917699921,-0.003946181232310497,-0.0034624985307223355,0.0048137376082197925,-0.03517277385234108,1
1999-04-01,4.170060983277324e-05,0.001016285553227192,-0.0009380447808737813,0.0076973279246037585,-0.02872747213291804,0
1999-05-01,0.002570912831758143,0.005712752359297024,0.001761813202859841,0.009925696478810586,-0.021152168265322402,0
1999-06-01,0.005004759998485042,0.00906493075635062,0.004246960206088168,0.0110826841508338,-0.013609912747694075,0
1999-07-01,0.007061247339135157,0.010696912213717269,0.006085933517837816,0.011240486047320086,-0.007082667599022319,0
1999-08-01,0.008429373285840924,0.011350456962055055,0.007047914802796207,0.010993493448687275,-0.0013921694217686742,0
1999-09-01,0.00895485857960221,0.011705654869154092,0.007187359626433576,0.01089289515364733,0.003489884277385613,0
1999-10-01,0.008935578229436025,0.011746775596306325,0.006782323182561001,0.010675599506140276,0.0074086293339661324,0
1999-11-01,0.008571132944344306,0.011313682428814698,0.0060654989977066975,0.010113175729908885,0.010490731090056382,0
1999-12-01,0.008368449105981668,0.010429298316430025,0.005123391588609749,0.009169230916585835,0.01248935922171368,0
2000-01-01,0.008784907919819673,0.00966862607351704,0.004206505050508902,0.008613988830752373,0.013489184563978185,0
2000-02-01,0.008723576949139833,0.008596620825974899,0.0033714598381617833,0.008288138250278632,0.013553953893632453,0
2000-03-01,0.0076266569831862085,0.006876008516008447,0.0024929209272217534,0.007763461598417898,0.012857036742644823,0
2000-04-01,0.00595782542602219,0.004910323854473209,0.0014422474468807067,0.007217233108976817,0.011816918202059323,1
2000-05-01,0.004134407096748838,0.003548843443569538,0.00030064929699058496,0.006751587723504926,0.010722672207376771,1
2000-06-01,0.0020315980767149355,0.0029724571346756434,-0.0007239771688620777,0.006572324087463333,0.009989012529380226,1
2000-07-01,-0.0001837494044458765,0.003140070131433248,-0.0014626024090773626,0.006865608719567096,0.00931876739342119,1
2000-08-01,-0.002057636458074441,0.0037734547812089403,-0.0015660013731597644,0.007177882118327705,0.008374648415316432,1
2000-09-01,-0.0031936834152599403,0.004336232550125274,-0.001172592730045885,0.006776073062171317,0.007064745063272593,1
2000-10-01,-0.0033069095526876424,0.005074972746651696,-0.0004099786628657398,0.006997724532815219,0.00643034283083832,1
2000-11-01,-0.0032122240673171376,0.005529334205752967,0.0006073856733719296,0.007792352004079461,0.006622997384077678,1
2000-12-01,-0.0033854475280721275,0.005286187544437659,0.0017885170655400628,0.008427530688669638,0.007336229662149307,1
2001-01-01,-0.0036640357928394707,0.004727813444583617,0.002896178926472537,0.008273182059282291,0.008853719129373161,1
2001-02-01,-0.0036268767177451977,0.004158427958155464,0.0035914206023583972,0.007410173236351181,0.010001998699018522,1
2001-03-01,-0.003587559380145322,0.0036806391262498295,0.0038300085147460194,0.006167186728016638,0.010194051657633985,1
2001-04-01,-0.0035873966706096994,0.00394123554707182,0.003977470381763659,0.004797299012500478,0.010078565090919867,0
2001-05-01,-0.0037731292078868606,0.004298205375403263,0.004100011681086535,0.0035221370977049915,0.009474786245071698,0
2001-06-01,-0.0038115621170584646,0.0042311887920725155,0.004227371136728664,0.0023317955238639776,0.008483448464068566,0
2001-07-01,-0.002957163804960139,0.004438259024697189,0.004532106282802317,0.0015295863995303804,0.008150645207714469,0
2001-08-01,-0.0013932522612396525,0.004870232849921052,0.004783175756592151,0.0014308899100363703,0.008282177610152708,0
2001-09-01,0.000346276748604879,0.005352145301585232,0.004958173133574384,0.0023547592611663504,0.008463454454004093,0
2001-10-01,0.001803266559377903,0.005333106758262929,0.004954186187837273,0.0029084722944410224,0.008225729249101477,0
2001-11-01,0.0038448658049619056,0.004905603440043649,0.004741323138774511,0.0030624110362595935,0.007809720650911345,0
2001-12-01,0.0061247720088530855,0.004581947112481721,0.004361811638092128,0.0033137580369686503,0.007662758093760047,0
2002-01-01,0.0077553340915264,0.0045355358184053784,0.003909817224466927,0.003599867154905567,0.007738557025922965,0
2002-02-01,0.00846506570841754,0.004475952032231056,0.003512630271185202,0.003924581584866527,0.008115439805497004,0
2002-03-01,0.008997563584599355,0.004518140876957233,0.0032724121324694266,0.004536807806551746,0.008556858055031036,0
2002-04-01,0.009539796842732429,0.004661462699385055,0.0032436876936801085,0.005330833122826117,0.009433629886930639,0
2002-05-01,0.010156467250912904,0.004514025780441244,0.003231188159094067,0.006340540456745369,0.010513713015242843,0
2002-06-01,0.010834819939696594,0.0042882149110994305,0.0031204495437631152,0.007808278689715564,0.011362533564600596,0
2002-07-01,0.011072189671348376,0.0034564696071770484,0.002895566370575864,0.008722805929976651,0.01133937303844057,0
2002-08-01,0.011089775236233557,0.001929241867466125,0.002639445210038005,0.008849675561624082,0.010606684011015055,0
2002-09-01,0.010818692455973,0.0002189512133714544,0.002398603045032921,0.008643640738990932,0.009657432993404491,0
2002-10-01,0.01017946990781482,-0.0010837749324466017,0.0021907063734873944,0.008420451743205604,0.008535957345169543,0
2002-11-01,0.009103764213706178,-0.0020190318428854326,0.002039221255865975,0.008355124867551744,0.00742160539658876,0
2002-12-01,0.007954251990243577,-0.002341580965735446,0.0020339661347881233,0.008608873507745862,0.006476777155937086,0
2003-01-01,0.0069728674459508255,-0.00225026660887373,0.002102362657541157,0.009152919117420666,0.005367709348813143,0
2003-02-01,0.006715278926538559,-0.0019571586391222695,0.002278514408685872,0.00995456806302819,0.004048246041937098,0
2003-03-01,0.007186105816694877,-0.0016307294354103163,0.0026412483804030273,0.010887546778882928,0.0027218738974807977,0
2003-04-01,0.007737887907958374,-0.0020298815374095724,0.0030062795809682186,0.011890791197648909,0.0006972062324832606,0
2003-05-01,0.008389172093131059,-0.0026511102703459244,0.0034901332165411247,0.01298904430893355,-0.0016506299426390925,0
2003-06-01,0.00871888947652888,-0.0028578585623444397,0.004267857931758101,0.013732212131833066,-0.003568385977633426,0
