DATE,INDPRO,PAYEMS,UNRATENSA,MPRIME,TOTALSA,Class
1983-07-01,0.008131577004563795,0.0031820133213127377,0.019506271966927002,-0.004245939033024726,0.018671618836707538,0
1983-08-01,0.008481796410287235,0.003460881221052148,0.021517792381326117,-0.00022458867415364736,0.01914547732299754,0
1983-09-01,0.008630383960752663,0.003668452467847416,0.0228943207632204,0.003680908085647694,0.01919342295046489,0
1983-10-01,0.008604851798278634,0.0038221249921193134,0.023563367188779605,0.007444042479217039,0.01863124437561181,0
1983-11-01,0.00840940401378143,0.003929272717581256,0.02359610628451625,0.010795934741592461,0.016930662343475955,0
1983-12-01,0.008030184244377736,0.003981735522513574,0.023085338664506683,0.01338748752735297,0.01423214962755548,0
1984-01-01,0.0074695298245939235,0.003979316944329625,0.0220935688788102,0.014784277454417794,0.011803577123284281,0
1984-02-01,0.006810147719483073,0.003936649431420136,0.02072306389447265,0.014622594943515477,0.010178552697542198,0
1984-03-01,0.006081890290039915,0.003859133362585254,0.01895381644896732,0.012831371087514754,0.009131950419998702,0
1984-04-01,0.0052888692823396255,0.003747066204644156,0.016776382830862246,0.009735306433436897,0.00860525754527064,0
1984-05-01,0.004499871269755484,0.003605753694417402,0.014484632878608572,0.006008320239713427,0.008447882033078002,0
1984-06-01,0.0037867032455389804,0.003447781400188532,0.012318335737490305,0.002316753950282191,0.008216752065606236,0
1984-07-01,0.003161079557482349,0.0032890388253292713,0.01025119008988895,-0.0009557402435844686,0.00774492703911811,0
1984-08-01,0.002613366840787723,0.003151809625009605,0.008374808560342561,-0.0038607602480533743,0.007206946996264563,0
1984-09-01,0.0021213782372213608,0.0030249739129590836,0.006708572453762329,-0.006618705812840631,0.006632179722813714,0
1984-10-01,0.0016648656918984983,0.002903377910712379,0.005256300104556022,-0.009448153141888849,0.006091353996094728,0
1984-11-01,0.0012761773506544394,0.002792340070589816,0.004101848340875458,-0.012452895504886818,0.006122601525206051,0
1984-12-01,0.0009785695917541304,0.0026879818076874784,0.003293298208110418,-0.015541552602597264,0.006600192634216739,0
1985-01-01,0.0007471924935034124,0.002584513355948559,0.0028150845081076348,-0.018377412331445964,0.007009675094383105,0
1985-02-01,0.0005917902506418216,0.002478679942223394,0.0025892420427966467,-0.02044142832801743,0.0071614473781767,0
1985-03-01,0.0005480968507516337,0.0023768718221219842,0.0026583652173017835,-0.02136431729359911,0.007014150881497816,0
1985-04-01,0.0006140217446448659,0.002284003479697816,0.0030159033017622683,-0.021054553222563666,0.00675605989540129,0
1985-05-01,0.000714001801367381,0.0021999823857701273,0.003215198335298597,-0.019672050125873586,0.005996522985559416,0
1985-06-01,0.0007762938581699075,0.002119634303296536,0.0030390514595801665,-0.017677284403990967,0.004517031837700802,0
1985-07-01,0.0007778453913047656,0.002039752311837617,0.002656332204775236,-0.015714389670928863,0.0028324792593266146,0
1985-08-01,0.0007316001594164234,0.001955562614762485,0.002220705290482572,-0.014269576650405291,0.0016916182714719064,0
1985-09-01,0.000672197854799883,0.001869227787643979,0.001837363031932382,-0.013503186630448027,0.0013576985723884327,0
