"DATE","PN38063GM"
Abr17,6.81954060673854
May17,6.60362704360996
Jun17,6.92502562317495
Jul17,7.06238083315679
Ago17,6.67669631124907
Sep17,6.42792956426974
Oct17,6.19946091644205
Nov17,6.56053656092202
Dic17,6.45494865586367
Ene18,7.30044123545929
Feb18,8.02741812642803
Mar18,8.06136520340152
Abr18,7.32452455510578
May18,6.63680233787707
Jun18,6.22298548934856
Jul18,6.16838916265603
Ago18,6.08489845777981
Sep18,6.1818875846932
Oct18,6.42593336777848
Nov18,6.24763418881066
Dic18,6.12694764210487
Ene19,6.47625184792085
Feb19,7.55905811585099
Mar19,8.15790974955788
Abr19,7.33131693583671
May19,6.70998160073597
Jun19,6.30799548472267
Jul19,6.00379186854856
Ago19,5.82743016439769
Sep19,5.74980872226473
Oct19,6.41770086151277
Nov19,6.32622239003209
Dic19,6.10219634130357
Ene20,6.33855193187312
Feb20,7.06807743087193
Mar20,7.7664334059883
Abr20,8.98246837334396
May20,13.124084108646
Jun20,16.2800441854264
Jul20,16.3732193732194
Ago20,15.5666222440439
Sep20,16.5316297912122
Oct20,16.4300202839757
Nov20,15.1259987707437
Dic20,13.8403718722184
Ene21,13.0112689857913
Feb21,14.4905005148499
Mar21,15.2790353115483
Abr21,15.1122678730041
May21,12.0291300877893
Jun21,10.3218661178085
Jul21,9.39102066179898
Ago21,9.53817997741521
Sep21,9.9731187994353
Oct21,9.59749947266486
Nov21,9.09296966491632
Dic21,7.83253543602741
Ene22,8.61777309976694
Feb22,8.9004257862105
Mar22,9.41204624107209
Abr22,8.26371231383945
May22,7.21181765389082
Jun22,6.7795367927294
Jul22,6.83013869982709
Ago22,7.32302234048451
Sep22,7.67263900983862
Oct22,7.16582709072997
	 
