"DATE","PD37972BM","PD37974BM","PD37976BM"
May00,44.080351173624,55.6167981603648,56.4350248656672
Jun00,47.4253200971584,49.040181780227,56.4945026047197
Jul00,51.0809827701663,49.6945426891102,54.8702064603896
Ago00,48.6474735084335,57.1221983131681,57.9940723830105
Sep00,41.9775109863128,47.7821393086983,48.2924337002846
Oct00,61.5278760075966,59.6909450798756,66.2079121806239
Nov00,52.363335323647,64.0877142104807,56.8441196251665
Dic00,54.0750400226141,57.8374986063287,50.9791106739909
Ene01,51.4858727194955,53.686459130162,54.0819968240646
Feb01,50.0891608674155,49.2633963174904,56.9016817133795
Mar01,50.3538550758121,63.7005179272065,54.4711953391086
Abr01,46.9366730797086,57.1174165555152,55.2544049500334
May01,50.9583359352773,62.1456880943376,61.1349915596887
Jun01,43.5704262320289,46.9602254903815,52.8128097696651
Jul01,64.1283265728982,61.0929185512719,60.9582393041818
Ago01,52.4044461663506,61.2857454077255,56.9395230830426
Sep01,53.9105185443721,56.8543730104514,56.8315697251307
Oct01,55.2495998544497,71.9912441408073,61.6784800237774
Nov01,53.0724390495294,71.892247701605,62.0301891066117
Dic01,57.4677168037945,63.083017377452,48.7191453326614
Ene02,50.4484886263563,60.5634573741001,65.4749306405101
Feb02,50.5320836254263,54.562846666127,56.2620492343453
Mar02,50.1681319050476,53.4528258898374,54.0068905018009
Abr02,50.0779940352507,76.4856258551216,68.2147116229291
May02,49.4237298843727,69.0699370435412,64.4524623895665
Jun02,60.3335530263236,55.2059873257665,55.3555800178393
Jul02,53.4862951367151,62.332959955123,64.9788040992596
Ago02,53.9406473770951,63.2220111614409,56.0539784480966
Sep02,56.1402660613386,67.6723567943508,60.2169257753577
Oct02,61.6350918002571,73.747982613513,69.3315779028286
Nov02,57.1357288611082,81.5726242783137,59.7011757016094
Dic02,68.3241607313061,79.9730239920637,56.7768981599835
Ene03,54.9818603723911,72.8536605244105,66.9606257524159
Feb03,54.3495261610028,62.7965926238893,50.7220453889838
Mar03,58.7656063292185,64.1171068376004,66.1124218567264
Abr03,54.9189211441957,72.9112741009608,60.9366141105785
May03,56.0582276143571,69.1585459457381,56.8539122256261
Jun03,61.4902891796142,65.2057541869884,55.7580537579148
Jul03,60.428226613551,74.0602066769291,62.5540850204184
Ago03,62.6102181888945,69.2206034805033,59.0267522084224
Sep03,64.7383770713773,69.4470726874571,59.4026784599982
Oct03,67.8361427889193,69.3831670673957,66.752316696416
Nov03,69.7171751408306,75.682100699308,55.8750615057333
Dic03,75.1388846453296,79.0460600009344,56.3414862373907
Ene04,67.5545243233391,62.3995429222504,55.8903730548702
Feb04,68.4296563852788,56.8819586402619,55.3961302992823
Mar04,72.1098100845279,60.6406805092269,64.2529741786411
Abr04,63.1910146639806,73.5236323847665,65.5644272388352
May04,77.0337541843045,69.9396591886898,67.6591286166799
Jun04,67.2780861103865,64.9858850196496,63.5943287174354
Jul04,76.6899384509172,70.7474499050341,65.9844942613401
Ago04,77.6855359327047,64.1439640535036,72.1409815852487
Sep04,75.4756800665199,70.4841938611629,71.6252283034019
Oct04,80.1089112423248,68.2486419820967,65.1725539309634
Nov04,80.6052895406633,84.6944092566696,64.0968249704665
Dic04,92.8942833376028,84.1160442493316,74.8007344412331
Ene05,80.5893824041003,64.9805380616784,73.4155620211711
Feb05,76.1995207298026,60.3159175614748,65.364702172345
Mar05,78.4357529202297,67.1868443889098,71.4554081127291
Abr05,80.7739280875835,76.0525933640968,74.1378963258284
May05,86.5687317205513,72.0498463330055,72.9629931972566
Jun05,79.8922209358979,72.7172830309188,68.2257037671264
Jul05,86.3165366757471,74.7957542884049,72.1832737948567
Ago05,82.437957043676,83.8743820174636,80.9927387076522
Sep05,82.0483723296481,75.2283084764649,72.3908308159374
Oct05,90.9365146899416,75.4907272668677,70.2263724446761
Nov05,88.8062508477033,97.1366614632924,80.8755574841907
Dic05,89.3612807788158,82.9784484796057,69.5357948700174
Ene06,84.6334481504145,75.4866374608043,77.5444566641431
Feb06,75.6870861501239,64.3294751796778,70.6542857665038
Mar06,87.2553133128552,77.772033119011,86.8429276609264
Abr06,82.2788106912844,80.8594290936522,78.252510911446
May06,90.9415506807556,86.0819366810835,81.0200009511493
Jun06,88.1154187240064,80.9525227296736,82.2499087396879
Jul06,97.0194068049453,78.1570202011716,84.8136108202491
Ago06,100.936553973853,89.0493990678605,83.0921079216353
Sep06,80.4830145111468,80.7565925368837,81.5847685680774
Oct06,112.655615295672,99.5151717228322,97.8119703676967
Nov06,106.83376535897,114.930735860136,89.9897112035507
Dic06,101.010220134829,105.077437295559,88.8611657363391
Ene07,92.4893519081948,87.8777144003482,96.2849279781467
Feb07,87.2093444080366,81.5358177355938,92.22829368573
Mar07,90.7815216879185,91.8766545756821,98.1279684665224
Abr07,90.7434240426345,95.2786067084884,89.9130381994174
May07,90.0969520959901,99.6321139709953,93.627464495885
Jun07,99.9671895227224,91.0787415027206,96.1438420588935
Jul07,105.008508359588,107.699075793644,108.589045799747
Ago07,100.555065965974,101.17294105947,108.448770329501
Sep07,100.174033782119,96.9711857797491,107.304926294881
Oct07,117.741575791198,118.135663602623,108.990144048817
Nov07,91.7126337411164,114.311679842655,94.9075484249261
Dic07,133.520398694508,114.42980502803,105.434030217534
Ene08,116.58781463667,110.144286273115,126.962033889075
Feb08,103.759917012732,103.503114269926,105.341340499279
Mar08,108.526112871379,111.515478778368,111.06881115987
Abr08,107.626210882824,133.330193780526,128.152188190792
May08,107.836571782651,125.477879323024,111.536413921658
Jun08,112.008907690149,135.501632441908,135.598172092485
Jul08,115.911329394954,152.133587650044,132.642900719237
Ago08,113.729810792222,141.059494806347,122.906972859295
Sep08,117.22665676788,149.899558574452,134.392224485421
Oct08,118.06883019922,180.860537658885,125.21046257991
Nov08,111.24156597444,171.339764786509,100.228229542213
Dic08,102.62106732879,142.290975085036,95.4702139823112
Ene09,85.842748194456,110.727680120104,97.6023324352912
Feb09,82.3673611664809,104.592321374477,78.4433597750806
Mar09,99.7542661702759,106.172069482599,93.9010740215129
Abr09,83.174805656447,111.116488929935,93.2292115358096
May09,89.9925040697513,108.542526099211,91.5087556048108
Jun09,97.7051683778814,107.957561482609,85.0487461012721
Jul09,98.8401298092647,113.286837257875,102.483600176445
Ago09,98.7786011400137,106.303672970037,98.859801912202
Sep09,102.46194982816,125.299620789707,99.4730668138704
Oct09,102.056379091586,131.503913122752,119.239529252415
Nov09,110.161957099345,136.008794730637,115.620543122178
Dic09,119.058133063956,130.00693025818,111.656984096075
Ene10,89.9315710052363,119.988743972116,110.125159120678
Feb10,97.5177114943583,122.393692351076,106.94287604885
Mar10,103.916050050361,155.015293947161,132.547538985724
Abr10,105.294169019003,151.146497221783,129.48798475445
May10,94.6134328054898,142.464543164924,114.95474685916
Jun10,122.545555541208,160.082634755429,132.305378425821
Jul10,115.781496730596,162.621762963147,142.914055516886
Ago10,106.746300145339,181.303637894412,141.381966551509
Sep10,113.710670711009,187.952864887656,137.280347648043
Oct10,125.525828626155,185.983057211362,135.159151610931
Nov10,133.785148951763,194.375347041514,129.487029948564
Dic10,138.662570393625,160.901170076487,136.515788207066
Ene11,112.349483752923,146.828608532404,137.376056602542
Feb11,116.993945852087,133.357677191269,127.04522073009
Mar11,127.945665186037,163.176184735781,153.221634493751
Abr11,118.855120803914,164.294856996208,146.481358252838
May11,125.190982136402,157.961296697924,151.511412065781
Jun11,120.197400362914,170.518209592063,138.175055150622
Jul11,135.284983327003,170.23076538983,138.158433272329
Ago11,136.475031740195,208.245444275869,146.613334076293
Sep11,134.435009053261,223.576010671882,145.731945074148
Oct11,130.36347188985,207.23461629186,136.441357068661
Nov11,142.654442539072,235.927951073548,135.80526725671
Dic11,151.416783073681,184.568757841376,145.728395994316
Ene12,125.499034929913,193.350090413789,152.519463646271
Feb12,121.30105208824,190.667641186365,137.8337859097
Mar12,143.624783686345,193.363477436021,153.892906978045
Abr12,120.751672570315,189.249534278838,145.781436010874
May12,134.551599836947,240.883138691212,165.267993661018
Jun12,145.286823138447,244.154437839971,148.78354568939
Jul12,143.4984822074,243.820358362635,179.198530431891
Ago12,150.074064887627,236.207934014044,169.548043854207
Sep12,136.341973482037,231.701904261993,153.305730902027
Oct12,144.736781714689,271.51795500681,170.465861817878
Nov12,155.735108586342,281.133847151006,155.747986093842
Dic12,158.122543217247,234.70869226966,142.58333240105
Ene13,130.272681778713,213.89734037805,161.420785688292
