"DATE","PN01755AM","PN01756AM","PN01757AM","PN01758AM","PN01759AM","PN01760AM","PN01761AM","PN01762AM","PN01763AM","PN01764AM","PN01765AM","PN01766AM","PN01767AM","PN01768AM","PN01769AM","PN01770AM","PN01771AM","PN01772AM","PN01773AM","PN38081AM","PN14206AM","PN01774AM"
Mar14,131.056469534465,122.922592767564,145.154453526817,51.5399790689697,114.590893981992,102.145175701268,183.157879519486,127.520180287374,122.40454638101,129.339274245365,149.598700254897,177.979972685957,156.821602161726,155.902923237689,155.543115700434,144.111915929233,117.956415707933,153.014686725879,145.958577773059,146.094608505118,166.799119381719,157.582702458244
Abr14,165.89963425854,180.394591293289,140.775239949285,89.5984194077112,105.365847117504,93.0678639442114,173.118680096629,126.459617360991,136.314183671412,122.9343298524,143.539039856452,189.581987020922,154.798746510954,158.618673113407,151.469664014705,145.925352801383,124.409963345846,153.248729502366,146.437612045345,146.472148275579,157.860121141774,162.458966439076
May14,186.709773716516,211.610494515562,143.548850292344,126.638240502252,113.989437123306,103.206815268451,173.393385820752,135.352546883805,153.662428025199,128.918174642724,148.076757720978,185.275837007331,152.872996502976,153.012091402295,157.88299991988,148.260222063892,138.213160266851,151.680026219882,145.581159463111,145.992449760505,166.830199026038,163.933632996475
Jun14,169.053498598515,183.848900999527,143.408326348878,119.191556096079,114.929588596335,106.231982449043,162.847289729136,127.32140683429,142.345660532618,122.049571855374,143.45289713553,176.277987120896,162.211512618585,151.513657145569,144.04479547179,144.668114528524,132.448326399286,148.827468086197,144.114406879532,145.377726129329,168.064607530511,156.467522185185
Jul14,140.474060563232,137.537302404467,145.56441400481,94.692763159337,118.243363161698,107.663581628893,176.530771473886,124.812732279232,134.370712148341,121.434270001755,146.479454012427,203.084014373892,165.220015923531,160.078996618042,146.131644266122,147.922643157663,125.532481924719,155.543773392998,145.855380943789,145.183649095477,162.461883605707,163.111778037825
Ago14,117.079825468846,103.03040945475,141.430820389042,44.3550222567908,119.545349290282,110.611020132979,168.768241832947,122.288939354759,108.28119283908,127.254516659983,145.850248751694,194.125518943851,167.572307599107,159.237852597356,148.685249674562,145.595315365279,114.854054067578,156.058980790052,146.268045319806,145.412611047709,169.291966788161,159.092410811184
Sep14,107.719572679614,90.8580736311191,136.945461882963,39.820959321175,111.563878696516,101.443351579985,167.321254144252,125.866121049988,105.481788566359,133.121764485219,142.916167965852,203.036492840661,170.472165565018,164.051790007449,153.108410287509,147.301851243689,107.533305720089,160.838210430744,146.77913459946,146.300853621018,162.691885087775,160.532770396372
Oct14,113.366234534248,98.1455797773739,139.748096437834,53.7440751709701,122.072608786836,110.864674505505,183.820871709049,129.54640250766,105.095731767337,138.242003949843,149.093630672079,215.85360061514,168.099990612276,162.703116513434,164.127256471531,150.790042907709,115.140070766587,162.924528128557,148.126328029226,147.057835982831,157.431424115205,165.834063863691
Nov14,124.717271257803,112.744110229866,145.470133121669,56.1141253325588,119.564691383614,109.365495954167,175.755564576338,122.774290515622,99.2666380232498,131.143082150988,146.217096824856,216.425585925287,155.590395062424,161.636068121696,155.498112209789,147.601135020437,115.463654332483,158.540043553087,147.298323752289,147.401262126992,172.840617592716,161.96929463992
Dic14,123.40059867313,108.739340702938,148.812181821149,65.3766492929379,118.70951919991,108.055728986136,177.404670419501,124.137237062779,114.191709387757,127.689376895311,150.868114872864,284.751687536359,173.341532068329,180.022516828461,156.493669477612,159.976450245091,117.487448772307,174.438794237371,146.359636506492,147.261429429336,196.934271836517,171.161507788615
Ene15,113.771421612889,97.3505776398108,142.232901406604,64.9206040594704,115.815378010437,106.234686970379,168.597160099586,119.991237645828,109.051268959754,123.929491548605,153.02253144676,150.274948722649,143.995562886684,155.286128982276,143.184179916638,138.197686816379,112.698620762501,146.877021514071,148.002415756483,147.220125338421,149.523082447488,154.512626005456
Feb15,115.79963252616,101.996690962787,139.72358834624,60.3061865312295,106.579297478413,99.2149582097641,147.150997278863,115.252175764057,99.7621157113588,120.773264725509,141.752159768791,152.02679817368,156.114748364726,155.227471523143,145.444322994596,137.470299533785,106.234626669744,148.102252042234,148.781506082573,147.714519448516,149.373368471948,150.972583218439
Mar15,134.109436795605,124.962877545958,149.961252556089,60.6807923577335,124.789891176265,117.401750051158,165.493207830883,121.954454280637,114.551435919211,124.589870157099,157.392477394515,164.726663998808,162.993184892282,164.81096256795,156.027875058296,148.339778409561,123.365254428726,156.840570245905,149.88447994855,148.889467262535,171.600990242701,166.008231498296
Abr15,165.287546005267,175.095542939238,148.286878457347,218.183674811301,115.302817247464,110.184142252032,143.502791129402,133.847250721674,181.470060786595,116.799924133114,150.87937258087,170.894662518105,160.258037263416,166.784355571708,148.961493636431,152.038604723334,141.333781719809,155.682296673888,152.492308554875,150.386098195333,158.706864167996,171.029092147483
May15,193.712800385745,217.66239910243,152.200316634639,155.951217309602,116.137761445689,112.701354480301,135.069400789595,130.928916316147,157.972255836007,121.327625334718,155.420846225489,159.66134991772,158.591687691728,160.842077462471,150.361398303875,150.15719220135,142.662101215463,152.708360276239,148.124781695691,150.167190066372,169.78853657132,166.417465193423
Jun15,183.883254554138,202.468582192908,151.668455192707,83.9146979743705,128.134602030752,122.844266927584,157.280642162806,124.357433208751,135.111915709849,120.655036118841,150.914850357211,169.427819963259,168.832085820417,159.978642449931,147.483276200047,150.578546994917,141.135394763173,153.792793298973,150.2795138513,150.298868033955,171.602126372123,162.935498909305
Jul15,149.477739127563,146.64341012359,154.389057249549,59.1893281335504,131.644985208216,128.330259910684,149.907016718316,124.262246537352,120.483739964971,125.7005492406,154.027142593607,188.513955172402,172.353069052625,168.253343978948,147.043281133572,153.252908823275,131.819962471934,160.548223661391,151.273073759892,149.892456435628,165.180673271195,167.620497570656
Ago15,119.592380240325,102.575311129806,149.085459527952,39.7814145308565,127.346564117304,125.929670181118,135.153483776918,120.153357037648,103.779063960338,125.966214564642,155.216444203886,178.099530827467,174.308642578915,166.557564293086,151.783242716359,149.48186711913,118.952860615269,159.873285568541,150.115126351923,150.555904654372,173.635389597314,160.606758030302
Sep15,113.526454926666,95.3433784902293,145.041672283544,41.2834648944905,126.189808408604,124.604808628084,134.922369522938,121.081980155303,96.676684792531,129.776956452186,152.307658939156,192.420095241306,177.482525723681,170.592662941992,156.353158234428,151.999229212378,115.705584973092,164.352806597767,151.296065015045,150.894755042287,166.761854513745,166.035499945011
Oct15,119.984842568783,103.68117946167,148.241374451876,49.0718714911304,135.241866533115,130.251995149906,162.732937152413,125.66319491716,109.022006568782,131.569178260168,159.565880843631,214.60677276741,174.882071496865,169.780138319613,162.876030744719,155.730120691974,124.673415902994,166.301156309569,153.388155263734,151.599782210234,163.695672271801,167.144599589381
Nov15,126.351830255093,111.456770216085,152.167025556235,83.5904788910101,133.390901968371,129.041465802147,157.353675398705,124.868571220737,117.224545164041,127.561316178822,156.775872314616,202.436500312134,162.038239267192,169.519852111496,157.192346052443,153.424114847416,127.528033839386,162.238584912804,152.749907738145,152.478042672308,177.356371455108,166.778428107251
Dic15,127.832323212615,111.923797789007,155.402709103381,119.339517785366,146.091450842325,142.192142904955,167.574153430537,130.676151533649,140.795698814143,127.063523110931,165.782701080472,286.532431192665,179.58943530364,189.128080855941,161.036011225716,170.391576698868,140.118672015456,180.695823586322,155.24935816352,153.795807055133,207.881068496896,177.636799681516
Ene16,121.552763919137,107.893865592144,145.224959670183,91.1239144660241,125.126618105515,126.270571757748,118.823487874449,116.658483743103,117.211014330886,116.466801912438,166.049685873183,146.736542858753,147.704025068483,162.642036852795,146.880572077841,143.100520938942,121.94590595938,150.30109775303,153.62007247738,153.873112793015,153.641850743702,158.185207084316
Feb16,118.139963086168,103.020432301161,144.345000420507,48.8854761951056,131.720381083205,132.541460024405,127.196283609768,115.218791853994,102.600464241325,119.715573686585,161.896111932982,160.66879578457,161.423930522084,164.174654039111,151.924112257063,146.316293752734,121.148121070495,154.88299944999,155.383579037352,154.751003226084,158.315538795269,157.907910935298
Mar16,133.909306008542,124.664468093061,149.933034503605,49.1726912716273,144.941364037691,144.756274238818,145.960963921037,116.337989131031,108.173838611376,119.24644206404,170.656633794717,170.609834210838,166.836674358312,171.924890538258,154.241177518384,153.620687314018,133.286165808622,160.5421219144,157.348933352133,155.450861622288,179.035290044631,165.383424226241
Abr16,171.596792303271,182.659528526932,152.421359276246,49.9322455844464,141.445269050765,140.598126177702,146.112108175259,116.375401203031,105.218181395036,120.374766289669,164.636120726177,173.753770284523,165.238868850936,174.899832424347,152.966770779571,156.272229844098,139.682286485595,161.919090427931,155.167548687716,155.966687025734,163.388163540378,166.808612850589
May16,195.671701521388,216.47546835006,159.612055410849,51.4877485286674,154.485929833764,153.760795288652,158.480277115361,119.079987087176,116.140412390751,120.348467034676,166.256597352975,168.956727563339,162.227949299583,168.962279190003,155.208045107395,157.496837037018,154.619443559973,158.476240007757,154.442263949822,155.65291532989,173.901244844357,167.446233854177
Jun16,184.750603897583,198.975737826356,160.093791842117,83.5475000355465,148.446082058052,150.317523276775,138.135783197211,122.949004940355,132.546311256567,119.649097865981,159.409570704457,163.070047878031,171.43551589805,166.700371337575,148.501622052329,155.977418793424,152.372512110089,157.204451642099,155.799667024235,155.136493220591,173.576051069092,169.117601512404
Jul16,147.845921576084,137.55408290044,165.684425872996,120.291979114613,150.22316337911,148.854376845384,157.764457107953,125.200102709578,148.196637236505,116.970607021598,164.11879875313,173.085058260277,174.456141572281,175.356986316477,147.951255194539,158.742284000152,148.447081064253,162.246550072978,157.817099113781,156.019676695946,164.636207447327,164.120342036989
Ago16,127.03036236223,107.149883147963,161.48579492979,65.8774956605778,151.991782389819,151.144148444128,156.662613680647,123.627012575334,121.265213085388,124.417866782968,165.794914417402,179.855725477201,177.47927915894,173.858990042649,158.728455930415,158.111338321205,138.375895885823,164.828859266552,158.100147379033,157.23897117235,178.40441010704,168.522905323523
Sep16,117.315828230438,96.9168621564783,152.664309632765,49.8899594371466,144.427651163049,145.643601533133,137.728959492698,124.256625115674,110.91368624795,128.997117579111,162.322070847964,184.50728429628,179.789029390663,177.900614953418,164.770498920336,158.845788096357,129.585559906171,168.805341644588,157.840656642659,157.919301045158,169.194388709362,169.994533127321
Oct16,125.418028334746,109.713354729811,152.62579930809,50.7530532292461,156.414035284248,158.459100564587,145.147523928633,122.105996734474,107.250338275351,127.375606973805,168.44957789056,178.516655099229,176.154329488793,174.923487224288,165.806343265454,159.111358001025,137.664944540574,166.411256753985,156.731178333369,157.557327451687,159.236749405079,166.883334809774
Nov16,133.819723151937,121.743283900877,154.737267393074,103.043417687926,148.912113442696,149.070500722436,148.039932796441,130.152781611251,134.173707335463,128.673955045798,165.630060338367,184.463906077784,162.792582814317,174.749744253927,162.343294877295,158.79513886694,141.515299641856,164.676825193801,158.13757548708,157.569803487703,175.99165496043,168.430154232904
Dic16,131.153313317135,113.393826981717,161.927544416114,167.693733829176,154.057295993115,154.481044650234,151.722980864109,140.420713101981,171.293291164142,129.397670944422,173.567764431844,274.228722945488,182.004214641178,195.18086337184,168.031929705594,176.279513804359,152.014309904436,184.538868312096,160.111454838966,158.326736219805,201.519613025071,179.860118905847
Ene17,124.089684160543,106.138636392938,155.199645724419,129.550851755664,143.963240324274,144.315974665778,142.01902350562,124.612358404714,140.361656901618,118.952041394434,175.676409606351,138.86834932368,149.100307992641,168.386851163013,155.542798381894,150.311211068118,138.259633272805,154.413309439086,160.322741900461,159.523924075502,153.308268711804,158.988740719772
Feb17,117.149700880381,99.2197467832688,148.226064636649,63.8387629580781,133.832912389948,134.750231966306,128.77859028711,112.389605359323,110.038200531761,113.217590770956,158.748417885574,149.18426192183,161.691758751169,168.748092714787,154.305072214347,147.486006887858,123.814326394765,155.543338769044,159.864543990029,160.099580243152,154.448284135884,152.166865591042
Mar17,132.202844701149,118.843476407397,155.358212232549,67.5100438640963,141.257851970083,141.132748039398,141.946975176005,119.362838938306,113.254310299303,121.536673415635,169.638486533594,163.662939880799,165.558888189905,176.490345461688,161.439778475994,155.41503504925,132.203992572684,163.315575638102,157.338664763015,159.175316884502,175.845891734378,168.403133412538
Abr17,170.901372424814,178.302747427961,158.072156797169,100.368900799359,141.693919954953,143.513150985852,131.670951301721,113.730335945221,124.901942242813,109.731037130072,163.08253246424,159.05725654979,164.31025434809,178.585379149084,153.651645983392,156.756309334268,144.487235937982,160.93243853884,158.694247926417,158.63248555982,160.523947682976,167.535344429777
May17,189.163723679902,207.088489636904,158.094112927313,195.85990624913,153.78042506069,156.673489811142,137.841128733671,134.126877873236,171.774840715898,120.646908421815,170.773405810518,162.158202376822,164.680666930493,174.195676219971,164.438171097776,163.249134638544,166.389811307292,162.180115721235,159.760622639022,158.597845109485,176.433404518448,172.279767308432
Jun17,196.894849319067,218.568257129914,159.327462272249,127.011197647119,157.983289368907,160.953317050525,141.62055455535,127.016813532084,154.397770587545,117.303622012859,164.323753373351,168.437415115618,174.396980492646,172.168340146533,153.444994664151,162.164336410244,165.611637933092,160.990948974898,162.079160063574,160.178010209671,177.645634770449,165.907388891121
Jul17,166.594722528483,165.26340755942,168.900539642774,60.8329192270607,153.735523596071,156.158833599404,140.38501315843,119.565428137636,124.299900838853,117.941065959418,166.414765589164,179.678250592967,176.572185374553,180.973334889187,155.249693638592,162.276265041774,149.02813678815,166.785643502468,161.159543354751,160.999775352449,170.72101904933,173.030606074964
Ago17,129.46118790927,109.18993172398,164.589451825755,39.2083951988745,157.866441854842,158.218052342978,155.930277696242,124.329870558612,112.499563175327,128.513657468339,168.898812485637,188.297355670499,179.683533290849,179.668401679134,167.681068819139,162.626239548567,139.995389488528,170.329295093791,162.450719557593,161.896474325306,183.019562771417,171.320213241055
