DATE,PN02312FM,PN38705PM,PN02028AM,PD37972BM,PD37974BM,PD37976BM,Recesion
2000-09-01,2231.62199876505,56.4250480284363,58.1922530699447,41.9775109863128,47.7821393086983,48.2924337002846,1
2000-10-01,2798.73951707801,56.5563303718728,61.4584302142944,61.5278760075966,59.6909450798756,66.2079121806239,1
2000-11-01,2169.06470791893,56.592420656869,60.1893635065832,52.363335323647,64.0877142104807,56.8441196251665,1
2000-12-01,2236.56758291176,56.6797255816296,56.3877733242833,54.0750400226141,57.8374986063287,50.9791106739909,1
2001-01-01,2282.22243258127,56.7861036356312,58.0570958212228,51.4858727194955,53.686459130162,54.0819968240646,1
2001-02-01,2206.68622490226,56.9254362852463,55.7495908062982,50.0891608674155,49.2633963174904,56.9016817133795,1
2001-03-01,2041.0136218059,57.2145661492874,59.2200221013129,50.3538550758121,63.7005179272065,54.4711953391086,1
2001-04-01,2497.63150924955,56.9763634636722,54.7022581641765,46.9366730797086,57.1174165555152,55.2544049500334,0
2001-05-01,2210.62039908626,56.9901942424174,64.3562904992243,50.9583359352773,62.1456880943376,61.1349915596887,0
2001-06-01,2041.56908824442,56.9574632278449,61.5390231147129,43.5704262320289,46.9602254903815,52.8128097696651,0
2001-07-01,2306.02077768076,57.0558569390185,62.8041122684634,64.1283265728982,61.0929185512719,60.9582393041818,0
2001-08-01,2198.96997554124,56.8829892163045,64.5847327535346,52.4044461663506,61.2857454077255,56.9395230830426,0
2001-09-01,2187.77400312673,56.9186878873034,63.0782294082555,53.9105185443721,56.8543730104514,56.8315697251307,0
2001-10-01,2189.31283136223,56.9400190461884,64.8720615025869,55.2495998544497,71.9912441408073,61.6784800237774,0
2001-11-01,2336.12327995733,56.6593810955995,62.7115494002542,53.0724390495294,71.892247701605,62.0301891066117,0
2001-12-01,2204.67292341887,56.607542928584,57.4215763991511,57.4677168037945,63.083017377452,48.7191453326614,0
2002-01-01,2383.78512082783,56.3132255677808,62.9823132802374,50.4484886263563,60.5634573741001,65.4749306405101,0
2002-02-01,1875.53678197057,56.2910820181566,59.9206617766849,50.5320836254263,54.562846666127,56.2620492343453,0
2002-03-01,1912.21369600876,56.594160700623,59.4747643052087,50.1681319050476,53.4528258898374,54.0068905018009,0
2002-04-01,2818.98983560409,57.0069121328661,65.4123784599961,50.0779940352507,76.4856258551216,68.2147116229291,0
2002-05-01,2231.87448882798,57.0860494061191,65.9094278988294,49.4237298843727,69.0699370435412,64.4524623895665,0
2002-06-01,2240.18598651369,56.9563043559274,63.1361775806265,60.3335530263236,55.2059873257665,55.3555800178393,0
2002-07-01,2375.05932930012,56.9758454777822,65.7260562755069,53.4862951367151,62.332959955123,64.9788040992596,0
2002-08-01,2887.00315077733,57.0333301076098,67.6732313438143,53.9406473770951,63.2220111614409,56.0539784480966,0
2002-09-01,2440.2080329683,57.3034139221012,66.0316375573467,56.1402660613386,67.6723567943508,60.2169257753577,0
2002-10-01,2346.17495556704,57.7148308116088,65.7631481396957,61.6350918002571,73.747982613513,69.3315779028286,0
2002-11-01,2365.75757946304,57.484334034047,62.9075963347361,57.1357288611082,81.5726242783137,59.7011757016094,0
2002-12-01,2788.82230281409,57.4656247447609,62.9499984718511,68.3241607313061,79.9730239920637,56.7768981599835,0
2003-01-01,2515.2534470875,57.5986117200474,64.6490088822767,54.9818603723911,72.8536605244105,66.9606257524159,0
2003-02-01,2255.23532903946,57.8686483186668,62.0005771469549,54.3495261610028,62.7965926238893,50.7220453889838,0
2003-03-01,2693.41422512862,58.5154925726066,64.3692335922702,58.7656063292185,64.1171068376004,66.1124218567264,0
2003-04-01,2989.45341985834,58.4857333805668,62.8233556213656,54.9189211441957,72.9112741009608,60.9366141105785,0
2003-05-01,2501.10002713711,58.467003260749,66.0423492965776,56.0582276143571,69.1585459457381,56.8539122256261,0
2003-06-01,2433.48885334855,58.1903786592813,66.2202279306105,61.4902891796142,65.2057541869884,55.7580537579148,0
2003-07-01,2466.75377069681,58.1035486706451,68.1147698891515,60.428226613551,74.0602066769291,62.5540850204184,0
2003-08-01,2819.32534800247,58.11136706357,69.0813109763802,62.6102181888945,69.2206034805033,59.0267522084224,0
2003-09-01,2620.74024062993,58.4359761836754,67.9564606817571,64.7383770713773,69.4470726874571,59.4026784599982,0
2003-10-01,2594.71514906971,58.464628580127,67.215701145264,67.8361427889193,69.3831670673957,66.752316696416,0
2003-11-01,2815.0575131131,58.5626647005052,65.3246379515613,69.7171751408306,75.682100699308,55.8750615057333,0
2003-12-01,2978.69703912924,58.8929293099865,65.4404188994425,75.1388846453296,79.0460600009344,56.3414862373907,0
2004-01-01,2791.73148595676,59.2094478515518,70.1259596735087,67.5545243233391,62.3995429222504,55.8903730548702,0
2004-02-01,2547.4807105803,59.8525127526772,66.9290271024947,68.4296563852788,56.8819586402619,55.3961302992823,0
2004-03-01,2877.57777305306,60.1281027710669,72.3755047418789,72.1098100845279,60.6406805092269,64.2529741786411,0
2004-04-01,3280.75350788631,60.1144115568846,69.310701618565,63.1910146639806,73.5236323847665,65.5644272388352,0
2004-05-01,3006.62866956888,60.32712322642,70.9959555661269,77.0337541843045,69.9396591886898,67.6591286166799,0
2004-06-01,2935.21099669915,60.6672517870461,72.4707057150387,67.2780861103865,64.9858850196496,63.5943287174354,0
2004-07-01,2855.98115011941,60.7844054751331,72.6029227834703,76.6899384509172,70.7474499050341,65.9844942613401,0
