"DATE","PN01652XM","PN01654XM","PN01655XM","PN01660XM","PN01661XM","PN01662XM","PN01664XM"
Feb16,208.589853320883,1199.9119047619,15.1969047619048,30.2752380952381,187.900335979067,136.47663848,664.483756473762
Mar16,224.791999201646,1244.1347826087,15.4565217391304,37.8173913043478,192.5370422864,136.333999852826,685.819756441209
Abr16,221.023684291275,1242.26190476191,16.3602380952381,40.9580952380952,187.742862934667,138.988708474,711.662680584562
May16,213.75592192679,1258.62954545455,16.9170454545455,46.8327272727273,180.962773523,144.857306183864,671.598197744627
Jun16,210.556033903078,1276.40454545455,17.2861363636364,48.7572727272727,177.538927784909,151.746751876364,667.018595298018
Jul16,220.668370264587,1337.32619047619,19.9702380952381,44.8595238095238,142.758063251067,125.678486864,631.487904564495
Ago16,215.239935437002,1340.11739130435,19.5873913043478,44.724347826087,138.5237880572,118.584049087304,714.259388265009
Sep16,214.195597262522,1326.02954545455,19.3261363636364,45.1640909090909,142.131352347091,118.587939231682,718.296113283354
Oct16,214.60643217401,1266.56904761905,17.655,49.8457142857143,149.196961066533,124.909868433,762.222026049095
Nov16,247.250110662107,1235.97954545455,17.3602272727273,45.7090909090909,156.144067343473,125.423700931773,775.235503002464
Dic16,255.905477880885,1148.97045454545,16.4154545454545,51.9722727272727,150.782825968218,128.116847884295,797.371918329727
Ene17,260.545003665625,1191.09318181818,16.8570454545455,52.5540909090909,163.292389177145,132.706829235273,760.043648882366
Feb17,269.475258083762,1234.3575,17.9395,53.4655,170.69290647738,135.80081666445,710.208154515474
Mar17,264.200792328717,1231.09347826087,17.6195652173913,49.3278260869565,167.679123451548,132.208890754957,693.296302676957
Abr17,257.709072005962,1267.48,18.0555,51.1855,148.55482098548,131.86399055445,659.887643171776
May17,254.286347797924,1246.80869565217,16.7686956521739,48.524347826087,159.323923226209,133.407055223217,697.408403132492
Jun17,259.444011276625,1260.25681818182,16.9311363636364,45.1777272727273,168.052369837418,133.977350388955,701.029909700241
Jul17,271.480433354167,1236.22142857143,16.15,46.572380952381,190.804838798,132.952241772,739.293950729584
Ago17,294.504213891011,1282.44565217391,16.9517391304348,48.0369565217391,159.164167963774,125.139720392217,747.865505225588
Sep17,298.335261621833,1314.97857142857,17.4447619047619,49.7028571428571,160.744984322533,119.923222027,758.600145975203
Oct17,308.787644890375,1279.51363636364,16.9413636363636,51.5777272727273,166.582621423018,121.4510854935,733.10716884814
Nov17,309.646893164,1282.28409090909,16.9847727272727,56.6631818181818,170.507517756927,119.930039041909,747.818014343022
Dic17,311.065007491333,1263.90476190476,16.1769047619048,57.8990476190476,168.058732384667,122.079102992,723.693621129264
Ene18,320.780031028815,1330.13695652174,17.12,63.5804347826087,188.07987046447,125.310886744826,722.416491916855
Feb18,317.810628021425,1331.525,16.59,62.2125,202.7334219113,131.35220316015,689.109916024381
Mar18,308.158285477,1324.62045454545,16.4660909090909,62.8222727272727,210.658372168491,133.297353151773,678.302254671363
Abr18,310.407298554833,1334.22142857143,16.648380952381,66.2538095238095,213.4809571916,133.964568486,665.145143214737
May18,309.59848607313,1303.32391304348,16.4927391304348,69.8886956521739,230.910256323235,142.855437887217,658.607044987954
Jun18,315.965965051,1281.56666666667,16.5414285714286,67.8733333333333,222.631890771733,128.078076112,633.377581054192
